,symbol,stock_val_10,stock_val_11,stock_val_12,stock_val_13,stock_val_14,stock_val_15,stock_val_16,rating,After Tax ROE,Capital Expenditures,Cost of Revenue,Depreciation,Earnings Before Tax,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Net Borrowings,Net Income,Total Assets,Total Liabilities & Equity,Total Revenue,For Year,Estimated Shares Outstanding
121,DUK,49299811.1742,149140044.0807,200070416.8641,140849414.082,234112498.80240002,213484653.0096,191131495.3872,3,7.0,-6766000000.0,13728000000.0,3613000000.0,4137000000.0,75709000000.0,16343000000.0,41.0,9731000000.0,1374000000.0,-119000000.0,37495000000.0,6324000000.0,1171000000.0,2816000000.0,121156000000.0,121156000000.0,23459000000.0,2015,695308641.975
122,DVA,28122602.1906,19900124.474999998,76553077.3074,50005266.2109,43558072.8498,71403951.97569999,46480797.827999994,2,6.0,-707998000.0,9824834000.0,638024000.0,723136000.0,2788740000.0,9294479000.0,29.0,3957003000.0,-97032000.0,256947000.0,9001308000.0,167490000.0,619698000.0,269732000.0,18514875000.0,18514875000.0,13781837000.0,2015,212387401.575
123,DVN,132886029.3852,94413600.0,206604007.9701,144553065.6636,227248242.2874,141430400.0,130803441.2718,2,205.0,-6415000000.0,2104000000.0,3385000000.0,-21268000000.0,19068000000.0,5032000000.0,84.0,11041000000.0,0.0,-6000000.0,12056000000.0,0.0,1831000000.0,-14454000000.0,29451000000.0,29451000000.0,13145000000.0,2015,406582278.481
124,EA,74876251.4288,41760320.0,104410416.0,76559959.33739999,86624946.0,78107153.1366,141775879.6002,2,34.0,-93000000.0,1354000000.0,197000000.0,877000000.0,439000000.0,1710000000.0,69.0,3042000000.0,-391000000.0,-64000000.0,991000000.0,0.0,519000000.0,1156000000.0,7050000000.0,7050000000.0,4396000000.0,2016,309919571.046
125,EBAY,197055367.91952777,111938890.15106341,383178282.8274534,349267416.71874964,332102358.483628,134544828.0,243152201.18969998,1,26.0,-668000000.0,1771000000.0,687000000.0,2406000000.0,1554000000.0,4451000000.0,79.0,6821000000.0,37000000.0,-1000000.0,6749000000.0,3391000000.0,-850000000.0,1725000000.0,17755000000.0,17755000000.0,8592000000.0,2015,1206293706.29
126,ECL,34830134.6184,70730536.2235,63847201.776,93717873.3036,108334976.89050001,110273755.1077,83835744.71519999,4,15.0,-771000000.0,7223500000.0,859500000.0,1317700000.0,3228300000.0,6490800000.0,47.0,6321600000.0,108400000.0,62300000.0,4260200000.0,0.0,-123100000.0,1002100000.0,18641700000.0,18641700000.0,13545100000.0,2015,296479289.941
127,ED,49198225.0,73778480.8106,107858681.94199999,114545685.92789999,135848584.116,75954282.4546,83921520.00000001,4,9.0,0.0,7060000000.0,1078000000.0,1798000000.0,32209000000.0,429000000.0,44.0,5494000000.0,-3353000000.0,201000000.0,12006000000.0,884000000.0,1361000000.0,1193000000.0,45642000000.0,45642000000.0,12554000000.0,2015,293120393.12
128,EFX,12203679.3144,10564398.5454,30664391.4334,30834865.2148,41971531.557,78404482.112,93058835.36129999,4,19.0,-146200000.0,887400000.0,200000000.0,636600000.0,366800000.0,2571000000.0,67.0,1776200000.0,-100000.0,123800000.0,1145900000.0,0.0,-331000000.0,429100000.0,4509000000.0,4509000000.0,2663600000.0,2015,118864265.928
129,EIX,24873838.7112,48438002.34,97723372.8375,52814408.8593,133893510.1344,135863263.70540002,141129192.0792,4,10.0,-4225000000.0,7256000000.0,2005000000.0,1568000000.0,35085000000.0,0.0,37.0,4268000000.0,374000000.0,8000000.0,10964000000.0,4618000000.0,86000000.0,1117000000.0,50310000000.0,50310000000.0,11524000000.0,2015,356869009.585
130,EL,83524496.895,52779168.0,88802311.48349999,53047875.99999999,69730617.25469999,75256074.29079999,94312167.534,3,31.0,-525300000.0,2181100000.0,414700000.0,1555200000.0,1583300000.0,1227800000.0,81.0,9081200000.0,-642700000.0,386900000.0,1910000000.0,1107700000.0,608200000.0,1114600000.0,9223300000.0,9207900000.0,11262300000.0,2016,370299003.322
131,EMN,35153848.8362,42602743.0907,102830359.53330001,176934743.42249998,77528921.022,38143151.13,41876927.4432,3,22.0,-652000000.0,7068000000.0,571000000.0,1129000000.0,5130000000.0,4518000000.0,27.0,2580000000.0,0.0,-361000000.0,6608000000.0,0.0,-505000000.0,848000000.0,15611000000.0,15611000000.0,9648000000.0,2015,148511383.538
